Datetime,Voltage,Pressure,Solar Radiation,Air Temperature,Relative Humidity,Wind Speed,Gust Speed,Wind Direction,Rain
7/3/23 20:15,-0.00023,747.05,14.4,10.094,40.656,2.34,5.68,63.2,0
7/3/23 20:30,-0.00023,747.05,11.9,9.73,39.976,2,5.01,47.7,0
7/3/23 20:45,-0.00023,746.85,5.6,9.558,38.82,3.34,6.01,50.5,0
7/3/23 21:00,-0.00023,746.85,0.6,9.494,37.906,3.67,7.35,53.3,0
7/3/23 21:15,-0.00023,746.95,0.6,9.15,37.758,3.01,8.35,43.5,0
7/3/23 21:30,-0.00023,747.05,0.6,8.936,36.564,3.34,6.68,44.9,0
7/3/23 21:45,-0.00023,746.95,0.6,8.743,36.1,2.67,5.68,42.1,0
7/3/23 22:00,-0.00023,747.15,0.6,8.55,35.456,2.34,5.01,40.7,0
7/3/23 22:15,-0.00023,747.05,0.6,8.185,35.167,2.67,5.68,39.3,0
7/3/23 22:30,-0.00023,747.05,0.6,7.992,35.373,1.34,4.01,46.3,0
7/3/23 22:45,-0.00023,747.15,0.6,7.327,36.921,0.33,2.34,158.6,0
7/3/23 23:00,-0.00023,747.05,0.6,6.898,36.655,0.33,3.34,169.9,0
7/3/23 23:15,-0.00023,747.05,0.6,6.834,37.746,0.33,2.34,200.8,0
7/3/23 23:30,-0.00023,747.15,0.6,6.384,38.309,0.67,2.34,217.6,0
7/3/23 23:45,-0.00023,747.05,0.6,6.577,36.727,1.34,2.34,216.2,0
7/4/23 0:00,-0.00023,747.05,0.6,6.598,36.841,1,2.34,234.5,0
7/4/23 0:15,-0.00023,746.95,0.6,6.77,36.141,1.34,3.01,220.4,0
7/4/23 0:30,-0.00023,747.05,0.6,6.62,37.704,0.67,2,262.5,0
7/4/23 0:45,-0.00023,746.95,0.6,6.276,36.75,1,3.01,248.5,0
7/4/23 1:00,-0.00023,747.05,0.6,6.341,36.042,0.33,2,272.4,0
7/4/23 1:15,-0.00023,746.95,0.6,6.534,33.747,1,1.67,268.1,0
7/4/23 1:30,-0.00023,746.95,0.6,6.234,36.132,0.67,2.34,265.3,0
7/4/23 1:45,-0.00023,746.85,0.6,6.105,35.889,1.34,2.67,262.5,0
7/4/23 2:00,-0.00023,747.05,0.6,6.555,35.257,1.34,2.67,228.8,0
7/4/23 2:15,-0.00023,746.85,0.6,6.255,38.222,0.33,1.67,271,0
7/4/23 2:30,-0.00023,746.95,0.6,6.083,38.404,0.67,1.34,261.1,0
7/4/23 2:45,-0.00023,747.05,0.6,6.083,37.337,0.33,2,261.1,0
7/4/23 3:00,-0.00023,746.95,0.6,5.869,39.646,0.67,2,247.1,0
7/4/23 3:15,-0.00023,746.95,0.6,5.676,41.344,1,2,275.2,0
7/4/23 3:30,-0.00023,746.95,0.6,5.654,42.332,0.67,2,273.8,0
7/4/23 3:45,-0.00023,746.85,0.6,5.654,42.332,1,2,249.9,0
7/4/23 4:00,-0.00023,746.75,0.6,5.268,45.08,0.67,2,230.2,0
7/4/23 4:15,-0.00023,746.65,0.6,5.419,44.364,0.67,2,262.5,0
7/4/23 4:30,-0.00023,746.85,0.6,5.311,43.883,0.67,1.67,259.7,0
7/4/23 4:45,-0.00023,746.85,0.6,5.118,43.18,0.67,1.67,263.9,0
7/4/23 5:00,-0.00023,746.75,0.6,5.118,43.615,0.67,2,226,0
7/4/23 5:15,-0.00023,746.85,0.6,5.354,42.968,0.33,1.34,252.7,0
7/4/23 5:30,-0.00023,746.85,3.1,4.947,44.485,0.33,2,228.8,0
7/4/23 5:45,-0.00023,746.75,15.6,5.29,41.169,0.33,2,200.8,0
7/4/23 6:00,-0.00023,746.75,56.9,6.469,37.14,0.33,1.67,228.8,0
7/4/23 6:15,-0.00023,746.75,100.6,7.456,36.197,0,1.34,355.2,0
7/4/23 6:30,-0.00023,746.75,141.9,7.563,34.745,0,1.34,25.3,0
7/4/23 6:45,-0.00023,746.95,188.1,8.164,33.866,0.67,3.34,123.5,0
7/4/23 7:00,-0.00023,746.85,233.1,8.722,32.708,0.67,2.67,64.6,0
7/4/23 7:15,-0.00023,746.85,273.1,8.293,34.209,1,4.34,99.7,0
7/4/23 7:30,-0.00023,746.95,324.4,8.464,31.554,1,5.01,74.4,0
7/4/23 7:45,-0.00023,746.85,373.1,8.335,31.774,2,6.01,64.6,0
7/4/23 8:00,-0.00023,746.85,420.6,8.55,31.707,2,5.01,64.6,0
7/4/23 8:15,-0.00023,746.85,464.4,8.314,30.245,2,5.34,66,0
7/4/23 8:30,-0.00023,746.85,510.6,8.743,29.418,2.34,5.34,68.8,0
7/4/23 8:45,-0.00023,746.65,555.6,9.944,28.62,0.67,4.01,82.8,0
7/4/23 9:00,-0.00023,746.65,596.9,8.657,33.025,2,5.68,68.8,0
7/4/23 9:15,-0.00023,746.65,639.4,9.558,32.966,1.34,3.34,67.4,0
7/4/23 9:30,-0.00023,746.75,663.1,9.88,31.641,0.67,2.67,95.5,0
7/4/23 9:45,-0.00023,746.85,696.9,9.923,30.791,1.67,5.01,66,0
7/4/23 10:00,-0.00023,746.85,720.6,10.566,30.671,1.67,4.68,77.2,0
7/4/23 10:15,-0.00023,746.65,773.1,10.587,31.299,1.67,3.67,68.8,0
7/4/23 10:30,-0.00023,746.55,799.4,11.252,28.914,1.67,3.34,50.5,0
7/4/23 10:45,-0.00023,746.65,830.6,11.231,30.73,1,3.01,87,0
7/4/23 11:00,-0.00023,746.85,861.9,11.36,29.407,1.67,4.68,75.8,0
7/4/23 11:15,-0.00023,747.15,881.9,11.81,29.587,1,3.01,102.5,0
7/4/23 11:30,-0.00023,747.15,923.1,11.36,28.986,1.34,3.34,96.9,0
7/4/23 11:45,-0.00023,747.05,936.9,12.882,27.224,1,2.67,87,0
7/4/23 12:00,-0.00023,746.95,968.1,12.775,25.896,0.33,3.01,60.4,0
7/4/23 12:15,-0.00023,747.15,975.6,12.389,28.58,0.67,2.67,117.9,0
7/4/23 12:30,-0.00023,747.15,985.6,13.29,25.76,0.33,3.01,117.9,0
7/4/23 12:45,-0.00023,747.35,986.9,13.268,24.715,1,3.67,110.9,0
7/4/23 13:00,-0.00023,747.45,991.9,12.84,25.353,1,3.01,105.3,0
7/4/23 13:15,-0.00023,747.55,985.6,13.097,24.918,0.67,4.01,120.7,0
7/4/23 13:30,-0.00023,747.45,965.6,14.169,25.814,0.33,2.34,113.7,0
7/4/23 13:45,-0.00023,747.55,965.6,14.041,24.71,0.33,2,105.3,0
7/4/23 14:00,-0.00023,747.55,953.1,14.212,25.42,0.67,2,136.2,0
7/4/23 14:15,-0.00023,747.95,934.4,14.727,23.259,0.67,3.34,109.5,0
7/4/23 14:30,-0.00023,747.65,919.4,14.491,23.52,1,3.34,54.8,0
7/4/23 14:45,-0.00023,747.65,898.1,14.427,22.863,0.67,2,162.9,0
7/4/23 15:00,-0.00023,747.85,869.4,14.748,24.079,0.33,3.34,115.1,0
7/4/23 15:15,-0.00023,747.95,844.4,14.963,25.608,0.67,2.67,140.4,0
7/4/23 15:30,-0.00023,747.95,810.6,14.663,22.463,1.34,3.67,63.2,0
7/4/23 15:45,-0.00023,747.95,781.9,13.719,24.941,0.67,3.34,120.7,0
7/4/23 16:00,-0.00023,747.95,748.1,13.805,25.417,1.34,4.34,70.2,0
7/4/23 16:15,-0.00023,748.05,711.9,13.783,25.856,1,4.01,96.9,0
7/4/23 16:30,-0.00023,747.95,674.4,14.191,27.646,0.67,2.34,92.7,0
7/4/23 16:45,-0.00023,747.95,635.6,14.169,25.548,0.67,5.01,56.2,0
7/4/23 17:00,-0.00023,747.95,594.4,14.427,26.058,0.67,2.67,84.2,0
7/4/23 17:15,-0.00023,747.85,554.4,14.212,25.756,1.67,4.34,53.3,0
7/4/23 17:30,-0.00023,747.95,511.9,13.419,26.021,2,5.01,43.5,0
7/4/23 17:45,-0.00023,747.85,466.9,13.547,26.424,2,4.01,35.1,0
7/4/23 18:00,-0.00023,747.85,421.9,13.161,28.322,1,4.34,77.2,0
7/4/23 18:15,-0.00023,747.85,375.6,13.033,27.48,1.34,4.01,50.5,0
7/4/23 18:30,-0.00023,747.75,329.4,12.818,27.66,1.34,4.68,59,0
7/4/23 18:45,-0.00023,747.85,283.1,12.432,28.345,1,2.67,67.4,0
7/4/23 19:00,-0.00023,747.85,30.6,11.896,28.722,1,4.34,56.2,0
7/4/23 19:15,-0.00023,747.75,26.9,11.36,30.947,1,3.34,63.2,0
7/4/23 19:30,-0.00023,747.85,24.4,11.231,30.455,1,3.01,57.6,0
7/4/23 19:45,-0.00023,747.75,21.9,11.167,30.137,1,4.01,33.7,0
7/4/23 20:00,-0.00023,747.85,19.4,10.738,30.686,1,2.67,37.9,0
7/4/23 20:15,-0.00023,747.75,15.6,10.673,31.24,0.67,2.67,39.3,0
7/4/23 20:30,-0.00023,747.85,10.6,9.644,32.938,0.33,2,26.7,0
7/4/23 20:45,-0.00023,747.75,5.6,9.837,32.494,0,2,91.3,0
7/4/23 21:00,-0.00023,747.75,0.6,10.137,32.529,0.33,2.34,36.5,0
7/4/23 21:15,-0.00023,747.85,0.6,9.579,34.324,0.67,2.34,74.4,0
7/4/23 21:30,-0.00023,747.95,0.6,9.108,35.662,0.33,1,221.8,0
7/4/23 21:45,-0.00023,747.95,0.6,8.807,36.394,0.33,1.34,248.5,0
7/4/23 22:00,-0.00023,747.95,0.6,8.979,34.614,0.33,1.34,224.6,0
7/4/23 22:15,-0.00023,747.95,0.6,8.593,36.417,0.67,1.67,273.8,0
7/4/23 22:30,-0.00023,747.95,0.6,8.807,35.404,0.33,1.67,290.6,0
7/4/23 22:45,-0.00023,748.05,0.6,8.614,35.436,0.67,2,262.5,0
7/4/23 23:00,-0.00023,747.95,0.6,8.486,35.624,0.33,1.34,265.3,0
7/4/23 23:15,-0.00023,747.95,0.6,8.078,37.296,1,2,271,0
7/4/23 23:30,-0.00023,747.85,0.6,7.971,36.374,1.34,2,256.9,0
7/4/23 23:45,-0.00023,747.95,0.6,7.821,38.592,1.34,2,271,0
7/5/23 0:00,-0.00023,747.85,0.6,8.464,34.795,1.34,2,278,0
7/5/23 0:15,-0.00023,747.65,0.6,8.507,35.715,1,1.67,283.6,0
7/5/23 0:30,-0.00023,747.85,0.6,8.636,35.267,0.67,2.34,285,0
7/5/23 0:45,-0.00023,747.65,0.6,8.035,38.424,1,1.67,283.6,0
7/5/23 1:00,-0.00023,747.55,0.6,7.671,40.159,1.34,2,273.8,0
7/5/23 1:15,-0.00023,747.55,0.6,7.842,40.191,1,2,276.6,0
7/5/23 1:30,-0.00023,747.45,0.6,8.593,37.795,1,2.34,262.5,0
7/5/23 1:45,-0.00023,747.45,0.6,8.722,38.276,2,3.01,268.1,0
7/5/23 2:00,-0.00023,747.35,0.6,10.03,33.948,1,2.67,287.8,0
7/5/23 2:15,-0.00023,747.35,0.6,8.786,38.271,1.34,3.01,285,0
7/5/23 2:30,-0.00023,747.35,0.6,9.172,38.016,2.34,3.01,266.7,0
7/5/23 2:45,-0.00023,747.25,0.6,8.571,38.72,2,3.01,263.9,0
7/5/23 3:00,-0.00023,747.25,0.6,8.207,38.067,1.67,3.01,273.8,0
7/5/23 3:15,-0.00023,747.15,0.6,8.357,39.454,1,2.34,282.2,0
7/5/23 3:30,-0.00023,747.15,0.6,7.842,39.992,1,2.34,263.9,0
7/5/23 3:45,-0.00023,747.05,0.6,8.314,39.265,2,2.67,259.7,0
7/5/23 4:00,-0.00023,747.05,0.6,8.035,39.081,0.67,2.34,256.9,0
7/5/23 4:15,-0.00023,746.95,0.6,8.636,37.699,1.67,2.67,261.1,0
7/5/23 4:30,-0.00023,746.85,0.6,9.772,35.044,1.67,2.34,263.9,0
7/5/23 4:45,-0.00023,746.85,0.6,8.571,38.328,1.34,2.34,282.2,0
7/5/23 5:00,-0.00023,746.85,0.6,7.928,39.37,0.67,2,271,0
7/5/23 5:15,-0.00023,746.85,0.6,7.606,37.919,1,2,252.7,0
7/5/23 5:30,-0.00023,746.75,3.1,7.821,39.141,0.33,1.67,275.2,0
7/5/23 5:45,-0.00023,746.65,23.1,9.022,38.271,1.34,2.67,263.9,0
7/5/23 6:00,-0.00023,746.55,60.6,9.794,32.639,0.67,2.34,271,0
7/5/23 6:15,-0.00023,746.45,103.1,9.472,33.756,0.67,1.67,272.4,0
7/5/23 6:30,-0.00023,746.55,144.4,9.794,36.019,0.67,1.34,269.6,0
7/5/23 6:45,-0.00023,746.45,186.9,10.673,33.088,0.67,2,275.2,0
7/5/23 7:00,-0.00023,746.25,230.6,10.909,33.404,0,0.67,271,0
7/5/23 7:15,-0.00023,746.25,276.9,12.496,29.194,0,1,32.3,0
7/5/23 7:30,-0.00023,746.25,323.1,11.874,31.194,0.33,1.34,304.7,0
7/5/23 7:45,-0.00023,746.25,368.1,12.84,29.12,0.33,1.34,285,0
7/5/23 8:00,-0.00023,746.25,415.6,11.596,31.821,0.33,1,296.2,0
7/5/23 8:15,-0.00023,746.25,463.1,13.011,28.493,0.33,1,289.2,0
7/5/23 8:30,-0.00023,746.15,509.4,13.376,28.45,0,0.33,286.4,0
7/5/23 8:45,-0.00023,746.15,551.9,13.976,27.713,0,1,233.1,0
7/5/23 9:00,-0.00023,746.15,595.6,13.14,28.382,0.33,1.34,237.3,0
7/5/23 9:15,-0.00023,746.05,636.9,13.333,28.693,0.33,1.34,238.7,0
7/5/23 9:30,-0.00023,746.15,679.4,14.341,28.85,0,1,282.2,0
7/5/23 9:45,-0.00023,746.25,714.4,14.727,26.772,0.33,1.67,240.1,0
7/5/23 10:00,-0.00023,746.35,749.4,13.912,31.263,0.33,1.67,262.5,0
7/5/23 10:15,-0.00023,746.35,780.6,13.826,29.325,0.67,2,249.9,0
7/5/23 10:30,-0.00023,746.25,811.9,13.118,29.935,0.67,2.34,224.6,0
7/5/23 10:45,-0.00023,746.25,838.1,14.427,31.957,0.67,2.67,213.4,0
7/5/23 11:00,-0.00023,746.45,874.4,15.499,31.192,0.33,1.34,244.3,0
7/5/23 11:15,-0.00023,746.55,898.1,13.719,35.793,0.33,1.67,303.2,0
7/5/23 11:30,-0.00023,746.45,919.4,14.77,32.343,0,1.67,300.4,0
7/5/23 11:45,-0.00023,746.45,938.1,15.37,31.675,0.33,1.34,223.2,0
7/5/23 12:00,-0.00023,746.35,948.1,15.563,30.535,0.33,1,279.4,0
