,name,street,town,state,zipcode,annual_rounds,ownership,year_built,green_fees
91,Red Blue Course at Fort Lewis Golf Course,Mounts Rd,Fort Lewis,WA,98433,N/A,Public,1930,$23.00
92,Holmes Harbor Golf Club,5023 Harbor Hills Dr,Freeland,WA,98249,"17,000 (estimated)",Public,1994,$25.00
93,San Juan Golf & Country Club,2261 Golf Course Rd,Friday Harbor,WA,98250,N/A,Semi-Private,1960,$40.00
94,Canterwood Golf Club,12606 54th Ave Nw,Gig Harbor,WA,98332,"30,000 (estimated)",Private,1988,$50.00
95,Gig Harbor Golf & Country Club,6909 Artondale Dr Nw,Gig Harbor,WA,98335,"15,000 (estimated)",Private,1958,$40.00
96,Madrona Links Golf Course,3604 22nd Ave Nw,Gig Harbor,WA,98335,"50,000 (estimated)",Public,1978,$23.00
97,Ironwood Green Golf Course,8136 Hwy 12,Glenoma,WA,98336,"2,500 (estimated)",Public,1984,$10.00
98,Goldendale Golf Club,1901 N Columbus Ave,Goldendale,WA,98620,"30,000 (estimated)",Semi-Private,1942,$20.00
99,Harrington Golf & Country Club,700 S Second St,Harrington,WA,99134,"12,000 (estimated)",Semi-Private,1957,$18.00
100,Lake Cushman Golf Course,N 210 W Fairway Dr,Hoodsport,WA,98548,N/A,Semi-Private,1965,$16.00
101,Three Rivers Golf Course,2222 S River Rd,Kelso,WA,98626,"60,000 (estimated)",Public,1983,$21.00
102,Inglewood Country Club,6505 Inglewood,Kenmore,WA,98111,"35,000 (estimated)",Private,1923,$100.00
103,Canyon Lakes Golf Course,3700 W Canyon Lakes Dr,Kennewick,WA,99337,"56,000 (estimated)",Public,1981,$38.00
104,Columbia Park Golf Course,7422 W Clearwater,Kennewick,WA,99336,"20,000 (estimated)",Public,1936,$10.00
105,Tri-City Country Club,314 N Underwood St,Kennewick,WA,99336,N/A,Semi-Private,1963,$30.00
106,Druids Glen,29925 207th Ave Se,Kent,WA,98042,"38,000 (estimated)",Public,1997,$48.00
107,Eighteen Hole Course at Riverbend Golf Complex,2020 W Meeker Ave,Kent,WA,98032,"55,000 (estimated)",Public,1989,$37.00
108,Par 3 Course at Riverbend Golf Complex,2020 W Meeker Ave,Kent,WA,98032,"55,000 (estimated)",Public,1961,$14.00
109,The Links Course at Golf Club at Hawks Prairie,8383 Vicwood Ln,Lacey,WA,98516,N/A,Public,1999,$43.00
110,The Woodlands Course at Golf Club at Hawks Prairie,8383 Vicwood Ln,Lacey,WA,98516,N/A,Public,1996,$43.00
111,Useless Bay Golf & Country Club,5725 S Country Club Dr,Langley,WA,98260,"25,000 (estimated)",Private,1968,$38.00
112,Kahler Glen Golf Course,20700-A Clubhouse Dr,Leavenworth,WA,98826,N/A,Resort,1990,$24.00
113,Leavenworth Golf Club,9101 Icicle Rd,Leavenworth,WA,98826,"45,000 (estimated)",Semi-Private,1927,$25.00
114,Liberty Lake Golf Course,24403 E Sprague Ave,Liberty Lake,WA,99019,"52,000 (estimated)",Public,1955,$22.00
115,Valley View Golf Course,Liberty Lake Dr,Liberty Lake,WA,99019,"30,000 (estimated)",Public,1974,$14.00
116,Peninsula Golf Course,9604 Hwy 103,Long Beach,WA,98631,N/A,Public,1947,$15.00
117,Longview Country Club,41 Country Club Dr,Longview,WA,98632,"32,000 (estimated)",Private,1926,$30.00
118,Mint Valley Golf Course,4002 Pennsylvania St,Longview,WA,98632,"50,000 (estimated)",Public,1976,$22.00
119,Lopez Island Golf Club,Airport Rd,Lopez,WA,98261,"24,000 (estimated)",Semi-Private,1968,$20.00
120,Homestead Farms Golf Resort & Convention Center,115 E Homestead Blvd,Lynden,WA,98264,"35,000 (estimated)",Semi-Private,1993,$40.00
121,Lynnwood Municipal Golf Course,20200 68th Ave W,Lynnwood,WA,98036,"60,000 (estimated)",Public,1991,$20.00
122,Three Lakes Golf Course,2695 Golf Dr,Malaga,WA,98828,"55,000 (estimated)",Semi-Private,1953,$25.00
123,M A 8 Golf,455 Wapato Lake Rd,Manson,WA,98831,N/A,Public,1992,$22.00
124,Elk Run Golf Club,22500 Se 275th Pl,Maple Valley,WA,98038,"50,000 (estimated)",Public,1989,$30.00
125,Lake Wilderness Golf Course,25400 Witte Rd Se,Maple Valley,WA,98038,N/A,Public,,$25.00
126,Links at Olson Mansion,21401 244th Ave Se,Maple Valley,WA,98038,"30,000 (estimated)",Public,1995,$28.00
127,Cedarcrest Golf Course,6810 84th St Ne,Marysville,WA,98270,"55,000 (estimated)",Public,1927,$22.00
128,Champion Course at Battle Creek Public Golf,6006 Meridian Ave N,Marysville,WA,98271,"45,000 (estimated)",Public,1990,$25.00
129,Par 3 Course at Battle Creek Public Golf,6006 Meridian Ave N,Marysville,WA,98271,"45,000 (estimated)",Public,1990,$14.00
130,Desert Aire Golf Course,215 Desert Aire Dr N,Mattawa,WA,99349,"20,000 (estimated)",Semi-Private,1978,$25.00
131,Whispering Firs Golf Club,Bldg 888,Mcchord Afb,WA,98438,"45,000 (estimated)",Military,1961,$27.00
132,Overlake Golf & Country Club,8000 Ne 16th St,Medina,WA,98039,"25,000 (estimated)",Private,1952,$100.00
133,Mill Creek Country Club,15500 Country Club Dr,Mill Creek,WA,98012,N/A,Private,1976,$52.00
134,Blue Boy West Golf Course,27927 Florence Acres Rd,Monroe,WA,98272,"34,000 (estimated)",Public,1990,$17.00
135,Monroe Golf Course,22110 Old Owen Rd,Monroe,WA,98272,"15,000 (estimated)",Public,1927,$18.00
136,Moses Lake Golf Club,1181 Rd F-2 Ne,Moses Lake,WA,98837,"40,000 (estimated)",Private,1956,$45.00
137,Moses Pointe Golf Resort,4524 Westshore Drive Ne,Moses Lake,WA,98837,N/A,Semi-Private,1999,$45.00
138,South Campus Golf,1475 E Nelson Rd,Moses Lake,WA,98837,"20,000 (estimated)",Public,1990,$12.00
139,Eaglemont Golf Club,4127 Eaglemont Dr,Mount Vernon,WA,98274,"30,000 (estimated)",Semi-Private,1992,$54.00
140,Overlook Golf Course,1753 State Hwy 9,Mount Vernon,WA,98273,"20,000 (estimated)",Public,1985,$18.50
141,Ballinger Lakes Golf Course,23000 Lakeview Dr,Mountlake Terrace,WA,98043,"30,000 (estimated)",Public,1958,$16.00
142,Nile Shrine Golf Course,6601 244th St Sw,Mountlake Terrace,WA,98043,"60,000 (estimated)",Semi-Private,1968,$25.00
143,Harbour Pointe Golf Club,11817 Harbour Pointe Blvd,Mukilteo,WA,98275,N/A,Public,1990,$52.00
144,China Creek Course at Golf Club at Newcastle,15500 Six Penny Ln,Newcastle,WA,98059,"25,000 (estimated)",Public,2000,$90.00
145,Coal Creek Course at Golf Club at Newcastle,15500 Six Penny Ln,Newcastle,WA,98059,"25,000 (estimated)",Public,1999,$150.00
146,Sundance Golf Course,9725 N Nine Mile Rd,Nine Mile Falls,WA,99026,"50,000 (estimated)",Public,1963,$17.00
147,Cascade Golf Course,14303 436th Ave Se,North Bend,WA,98045,"35,000 (estimated)",Public,1957,$26.00
148,Beacon Rock Public Golf,Mile Post 37 Hwy 14,North Bonneville,WA,98639,"27,000 (estimated)",Public,1969,$22.00
149,Gallery Golf Course,Whidbey Island Us Navy Air Sta,Oak Harbor,WA,98278,"40,000 (estimated)",Military,1948,$23.00
150,Whidbey Golf & Country Club,2430 Fairway Ln,Oak Harbor,WA,98277,"24,000 (estimated)",Private,1961,$25.00
151,Surfside Golf Course,31508 J Pl,Ocean Park,WA,98640,"24,000 (estimated)",Public,1969,$20.00
152,Ocean Shores Golf Course,500 Canal Dr Ne,Ocean Shores,WA,98569,"32,000 (estimated)",Public,1967,$25.00
153,Odessa Golf Club & RV Park,Hwy 28,Odessa,WA,99159,N/A,Public,1966,$17.50
154,Capitol City Golf Club,5225 Yelm Hwy Se,Olympia,WA,98503,N/A,Public,1962,$23.00
155,Delphi Golf Club,6340 Neylon Dr Sw,Olympia,WA,98512,N/A,Semi-Private,1974,$16.50
156,Indian Summer Golf & Country Club,5900 Troon Ln Se,Olympia,WA,98501,"75,000 (estimated)",Private,1992,$80.00
157,Olympia Country & Golf Club,3636 Country Club Dr Nw,Olympia,WA,98502,"40,000 (estimated)",Private,1926,$43.20
158,Scott Lake Golf Course,11746 Scott Creek Dr Sw,Olympia,WA,98512,N/A,Public,1964,$16.00
159,Okanogan Valley Golf Club,Pogue Rd,Omak,WA,98841,"14,000 (estimated)",Semi-Private,1946,$20.00
160,Oroville Golf Club,3468-A Orville-Loomis Rd,Oroville,WA,98844,N/A,Semi-Private,1959,$20.00
161,Cedars Course at High Cedars Golf Club,14604 149th St Court E,Orting,WA,98360,N/A,Public,1971,$40.00
162,Executive Nine Course at High Cedars Golf Club,14604 149th St Court E,Orting,WA,98360,N/A,Public,1990,$20.00
163,Othello Golf Club,2269 W Bench Rd,Othello,WA,99344,"12,000 (estimated)",Public,1965,$18.00
164,Potholes Golf Course,7037 Hwy 262 E,Othello,WA,99344,"32,500 (estimated)",Public,1994,$16.00
165,High Valley Country Club,633 Cannon Rd,Packwood,WA,98361,"23,000 (estimated)",Private,1960,$10.00
