,name,street,town,state,zipcode,annual_rounds,ownership,year_built,green_fees
228,Muroc Lake Golf Course,Edwards Afb,Edwards,CA,93523,"30,000 (estimated)",Military,,$20.00
229,Ivanhoe Course at Cottonwood at Rancho San Diego,3121 Willow Glen Dr,El Cajon,CA,92019,"120,000 (estimated)",Public,1953,$45.00
230,Monte Vista Course at Cottonwood at Rancho San Diego,3121 Willow Glen Dr,El Cajon,CA,92019,"120,000 (estimated)",Public,1953,$42.00
231,Oak Glen Course at Singing Hills Country Club At Sycuan,3007 Dehesa Rd,El Cajon,CA,92019,"200,000 (estimated)",Resort,1956,$42.00
232,Pine Glen Course at Singing Hills Country Club At Sycuan,3007 Dehesa Rd,El Cajon,CA,92019,"200,000 (estimated)",Resort,1950,$14.00
233,Willow Glen Course at Singing Hills Country Club At Sycuan,3007 Dehesa Rd,El Cajon,CA,92019,"200,000 (estimated)",Resort,1967,$42.00
234,Broken Spoke Country Club,225 Wake Ave,El Centro,CA,92243,"30,000 (estimated)",Public,1986,$14.00
235,Lakeview Golf Course,1589 Drew Rd,El Centro,CA,92243,"35,000 (estimated)",Public,1990,$10.00
236,Mira Vista Golf & Country Club,7901 Cutting Blvd,El Cerrito,CA,94530,"40,000 (estimated)",Private,1921,$65.00
237,El Dorado Hills Golf Course,3775 El Dorado Hills Blvd,El Dorado Hills,CA,95762,N/A,Public,1964,$22.00
238,Serrano Country Club,5005 Serrano Pkwy,El Dorado Hills,CA,95762,N/A,Private,1996,$80.00
239,El Macero Country Club,44571 Clubhouse Dr,El Macero,CA,95618,"35,000 (estimated)",Private,1961,$60.00
240,Lakes at El Segundo,400 S Sepulveda Blvd,El Segundo,CA,90245,N/A,Public,1994,$16.00
241,Emerald Lakes Golf Center,10651 E Stockton Blvd,Elk Grove,CA,95624,N/A,Public,1991,$17.00
242,Valley Hi Country Club,9595 Franklin Blvd,Elk Grove,CA,95624,"42,000 (estimated)",Private,1961,$55.00
243,Cherry Island Golf Course,2360 Elverta Rd,Elverta,CA,95626,"60,000 (estimated)",Public,1990,$23.00
244,Encinitas Ranch Golf Course,1275 Quail Gardens Dr,Encinitas,CA,92024,N/A,Public,1998,$88.00
245,Balboa Course at Sepulveda Golf Complex,16821 Burbank Blvd,Encino,CA,91436,N/A,Public,1953,$27.00
246,Encino Course at Sepulveda Golf Complex,16821 Burbank Blvd,Encino,CA,91436,N/A,Public,1959,$27.00
247,Escalon Golf Course,17051 S Escalon Bellota Rd,Escalon,CA,95320,"42,000 (estimated)",Public,1984,$10.00
248,Castle Creek Country Club,8797 Circle R Dr,Escondido,CA,92026,N/A,Semi-Private,1956,$40.00
249,Escondido Country Club,1800 W Country Club Ln,Escondido,CA,92026,"75,000 (estimated)",Private,1965,$50.00
250,Meadow Lake Golf Club,10333 Meadow Glen Way E,Escondido,CA,92026,"50,000 (estimated)",Semi-Private,1965,$50.00
251,Reidy Creek Golf Course,2300 N Broadway,Escondido,CA,92025,N/A,Public,2002,N/A
252,The Fountains Executive Course at Welk Resort - San Diego,8860 Lawrence Welk Dr,Escondido,CA,92026,"50,000 (estimated)",Resort,1986,$42.00
253,The Oaks Course at Welk Resort - San Diego,8860 Lawrence Welk Dr,Escondido,CA,92026,"50,000 (estimated)",Resort,1986,$14.00
254,Vineyard at Escondido,925 San Pasqual Rd,Escondido,CA,92025,N/A,Public,1993,$60.00
255,Eureka Municipal Golf Course,4750 Fairway Dr,Eureka,CA,95503,"45,000 (estimated)",Public,1957,$21.00
256,Exeter Public Golf Course,510 W Visalia Rd,Exeter,CA,93221,N/A,Public,1963,$13.00
257,North Ridge Country Club,7600 Madison Ave,Fair Oaks,CA,95628,"32,000 (estimated)",Private,1952,$70.00
258,Meadow Club,1001 Bolinas Rd,Fairfax,CA,94930,"35,000 (estimated)",Private,1927,$120.00
259,Paradise Valley Golf Course,3950 Paradise Valley Dr,Fairfield,CA,94533,"70,000 (estimated)",Public,1993,$45.00
260,Rancho Solano Golf Course,3250 Rancho Solano Pkwy,Fairfield,CA,94533,"64,000 (estimated)",Public,1990,$45.00
261,Fall River Valley Golf & Country Club,Hwy 299 E,Fall River Mills,CA,96018,"20,000 (estimated)",Public,,$27.00
262,Fallbrook Golf Club,2757 Gird Rd,Fallbrook,CA,92028,"65,000 (estimated)",Public,1962,$35.00
263,Pala Mesa Resort,2001 Old Hwy 395,Fallbrook,CA,92028,"65,000 (estimated)",Resort,1961,$80.00
264,The Golf Club of California,3742 Flowerwood Lane,Fallbrook,CA,92028,"20,000 (estimated)",Private,2002,$110.00
265,J B Golf Course,24305 Hwy 4,Farmington,CA,95230,N/A,Public,1990,$9.00
266,Elkins Ranch Golf Course,1386 Chambersburg Rd,Fillmore,CA,93015,"60,000 (estimated)",Semi-Private,1962,$29.00
267,Empire Ranch Golf Club,1620 E Natomas St,Folsom,CA,95630,N/A,Public,2002,N/A
268,Sierra Lakes Golf Course,16600 Clubhouse Dr,Fontana,CA,92336,N/A,Public,2000,$69.00
269,Redwood Empire Golf & Country Club,352 Country Club Dr,Fortuna,CA,95540,"20,000 (estimated)",Private,1954,$20.00
270,Mariners Point Golf Links & Practice Center,2401 E 3rd Ave,Foster City,CA,94404,"40,000 (estimated)",Public,1996,$25.00
271,Classic Course at Mile Square Golf Course,10401 Warner Ave,Fountain Valley,CA,92708,"150,000 (estimated)",Public,1962,$52.00
272,David L. Baker Memorial Golf,10410 E Edinger Ave,Fountain Valley,CA,92708,"100,000 (estimated)",Public,1989,$27.00
273,Players Course at Mile Square Golf Course,10401 Warner Ave,Fountain Valley,CA,92708,"150,000 (estimated)",Public,2001,$72.00
274,Airways Golf Course,5440 E Shields Ave,Fresno,CA,93727,"52,000 (estimated)",Public,1949,$15.75
275,Belmont Country Club,8253 E Belmont Ave,Fresno,CA,93727,"45,000 (estimated)",Private,1956,$35.00
276,Copper River Country Club,11500 N Friant Rd,Fresno,CA,93720,N/A,Private,1995,$35.00
277,Fig Garden Golf Course,7700 N Van Ness Blvd,Fresno,CA,93711,"80,000 (estimated)",Semi-Private,1958,$50.00
278,Fort Washington Golf & Country Club,10272 N Millbrook Ave,Fresno,CA,93720,"42,000 (estimated)",Private,1923,$35.00
279,Hanks Swank Par Three Golf Course,6101 E Olive Ave,Fresno,CA,93727,N/A,Public,1984,$12.00
280,Palm Lakes Golf Course,5025 E Dakota Ave,Fresno,CA,93727,"35,000 (estimated)",Public,1986,$12.00
281,Riverside Golf Course of Fresno,7672 N Josephine Ave,Fresno,CA,93722,"80,000 (estimated)",Public,1939,$19.00
282,San Joaquin Country Club,3484 W Bluff Ave,Fresno,CA,93711,"37,000 (estimated)",Private,1961,$75.00
283,Sunnyside Country Club,5704 E Butler Ave,Fresno,CA,93727,"30,000 (estimated)",Private,1906,$75.00
284,Village Green Golf Course,236 S Clovis Ave,Fresno,CA,93727,N/A,Public,1946,$10.00
285,Brighton Crest Country Club,21722 Fairway Oaks Ln,Friant,CA,93626,"30,000 (estimated)",Semi-Private,1990,$50.00
286,Coyote Hills Golf Course,1440 E Bastanchury,Fullerton,CA,92835,N/A,Public,1996,$95.00
287,Fullerton Golf Course,2700 N Harbor Blvd,Fullerton,CA,92835,N/A,Public,1961,$25.00
288,Dry Creek Ranch Golf Course,809 Crystal Way,Galt,CA,95632,"55,000 (estimated)",Public,1963,$33.00
289,Benbow Valley RV Resort & Golf Course,7000 Benbow Dr,Garberville,CA,95542,N/A,Public,1928,$20.00
290,Golden Era Golf Course,19871 Hwy 79,Gilman Hot Springs,CA,92583,"50,000 (estimated)",Public,1989,$22.00
291,Eagle Ridge Golf Club,2951 Club Dr,Gilroy,CA,95020,N/A,Public,2000,$90.00
292,Gavilan Golf Course,5055 Santa Teresa Blvd,Gilroy,CA,95020,"25,000 (estimated)",Public,1966,$15.00
293,Gilroy Golf Course,2695 Hecker Pass Hwy,Gilroy,CA,95020,"33,000 (estimated)",Public,1924,$26.00
294,Trilogy Golf Club,24440 Trilogy Pkwy,Glen Ivy,CA,92883,N/A,Public,2002,$80.00
295,Chevy Chase Country Club,3067 E Chevy Chase Dr,Glendale,CA,91206,N/A,Private,1926,$25.00
296,Oakmont Country Club,3100 Country Club Dr,Glendale,CA,91208,"50,000 (estimated)",Private,1924,$65.00
297,Scholl Canyon Golf & Tennis Club,3800 E Glenoaks Blvd,Glendale,CA,91206,N/A,Public,1981,$25.00
298,Glen Oaks Golf & Racquet Club,200 W Dawson Ave,Glendora,CA,91740,N/A,Public,N/A,N/A
299,Glendora Country Club,310 S Amelia Ave,Glendora,CA,91741,"47,000 (estimated)",Private,1955,$50.00
300,Encina Royale Golf Course,250 Moreton Bay Ln,Goleta,CA,93117,N/A,Private,,N/A
301,Ocean Meadows Golf Club,6925 Whittier Dr,Goleta,CA,93117,"32,500 (estimated)",Public,1966,$29.00
302,Sandpiper Golf Course,7925 Hollister Ave,Goleta,CA,93117,"37,000 (estimated)",Public,1972,$130.00
303,Twin Lakes Golf Course,6034 Hollister Ave,Goleta,CA,93117,"47,000 (estimated)",Public,,$15.00
304,Graeagle Meadows Golf Course,Hwy 89,Graeagle,CA,96103,"33,000 (estimated)",Semi-Private,1969,$40.00
305,Plumas Pines Golf Resort,402 Poplar Valley Rd,Graeagle,CA,96103,"23,500 (estimated)",Public,1980,$85.00
306,Knollwood Golf Course,12040 Balboa Blvd,Granada Hills,CA,91344,N/A,Public,1957,$27.00
307,Granite Bay Golf Club,9600 Golf Club Dr,Granite Bay,CA,95746,"40,000 (estimated)",Private,1994,$65.00
308,Alta Sierra Country Club,11897 Tammy Way,Grass Valley,CA,95949,"45,000 (estimated)",Semi-Private,1965,$50.00
309,Nevada County Country Club,1040 E Main St,Grass Valley,CA,95945,"32,000 (estimated)",Semi-Private,1926,$18.00
310,Pine Mountain Lake Country Club,12765 Mueeler,Groveland,CA,95321,"42,000 (estimated)",Semi-Private,1971,$40.00
311,Pismo State Beach Golf Course,25 Grand Ave,Grover Beach,CA,93433,N/A,Public,1965,$16.00
312,Wildwood Mobile Country Club,901 S 6th Ave,Hacienda Heights,CA,91745,N/A,Private,1971,N/A
313,Ocean Course at Half Moon Bay Golf Links,2 Miramontes Point Rd,Half Moon Bay,CA,94019,"45,000 (estimated)",Resort,1997,$145.00
314,Old Course at Half Moon Bay Golf Links,2 Miramontes Point Rd,Half Moon Bay,CA,94019,"45,000 (estimated)",Resort,1973,$145.00
315,Kings Country Club,3529 12th Ave,Hanford,CA,93230,"25,000 (estimated)",Private,,$30.00
316,Mission Hill of Hayward,2751 Industrial Pkwy,Hayward,CA,94544,N/A,Public,1999,$36.00
317,Skywest Golf Course,1401 Golf Course Rd,Hayward,CA,94541,"95,000 (estimated)",Public,1964,$31.00
318,Tayman Park Municipal Golf Course,927 S Fitch Mountain Rd,Healdsburg,CA,95448,"37,000 (estimated)",Public,1922,$18.00
319,East South Course at Silver Lakes Country Club,14814 Club House Dr,Helendale,CA,92342,"80,000 (estimated)",Private,1975,$30.00
320,North East Course at Silver Lakes Country Club,14814 Club House Dr,Helendale,CA,92342,"80,000 (estimated)",Private,1975,$30.00
321,North South Course at Silver Lakes Country Club,14814 Club House Dr,Helendale,CA,92342,"80,000 (estimated)",Private,1975,$35.00
322,Arroyo Fairways Mobile Home Club & Golf Course,42751 E Florida Ave,Hemet,CA,92544,N/A,Private,,N/A
323,Colonial Country Club,601 N Kirby St,Hemet,CA,92545,N/A,Private,1971,$14.00
324,Diamond Valley Golf Club,31220 Sage Rd,Hemet,CA,92543,N/A,Public,1999,$40.00
325,Echo Hills Golf Club,545 E Thornton Ave,Hemet,CA,92543,N/A,Public,1964,$10.00
326,Hemet Golf Club,7575 World Cup,Hemet,CA,92545,N/A,Public,2003,$60.00
327,Seven Hills Golf Club,1537 S Lyon Ave,Hemet,CA,92543,"50,000 (estimated)",Public,1973,$25.00
328,Franklin Canyon Golf Course,Hwy 4,Hercules,CA,94572,N/A,Public,1968,$54.00
329,Hesperia Golf & Country Club,17970 Bangor Ave,Hesperia,CA,92345,N/A,Semi-Private,1957,$37.00
330,Burlingame Country Club,80 New Pl Rd,Hillsborough,CA,94010,"28,000 (estimated)",Private,1920,$40.00
331,Diablo Course at Ridgemark Golf & Country Club Resort,3800 Airline Hwy,Hollister,CA,95023,N/A,Resort,1986,$64.00
332,Gabilan Course at Ridgemark Golf & Country Club Resort,3800 Airline Hwy,Hollister,CA,95023,N/A,Resort,1972,$64.00
333,San Juan Oaks Golf Club,3825 Union Rd,Hollister,CA,95023,"50,000 (estimated)",Public,1996,$80.00
334,Barbara Worth Golf Resort,2050 Country Club Dr,Holtville,CA,92250,"30,000 (estimated)",Resort,1930,$45.00
335,Meadowlark Golf Course,16782 Graham St,Huntington Beach,CA,92649,"85,000 (estimated)",Public,1929,$38.00
336,SeaCliff Country Club,6501 Palm Ave,Huntington Beach,CA,92648,"50,000 (estimated)",Private,1965,$100.00
337,Cove West Cove Course at Indian Wells Country Club,46-000 Club Dr,Indian Wells,CA,92210,"50,000 (estimated)",Private,1975,$175.00
338,Desert Course at Vintage Club,75001 Vintage Dr W,Indian Wells,CA,92210,N/A,Private,1984,$125.00
339,Desert Horizons Country Club,44900 Desert Horizons Dr,Indian Wells,CA,92210,"30,000 (estimated)",Private,1979,$65.00
340,Eldorado Country Club,46000 Fairway Dr,Indian Wells,CA,92210,"30,000 (estimated)",Private,1958,$150.00
341,Mountain Course at Vintage Club,75001 Vintage Dr W,Indian Wells,CA,92210,N/A,Private,1981,$125.00
342,North Cove Cove Course at Indian Wells Country Club,46-000 Club Dr,Indian Wells,CA,92210,"50,000 (estimated)",Private,1975,$175.00
343,Reserve,74-001 Reserve Dr,Indian Wells,CA,92210,"12,000 (estimated)",Private,1998,N/A
344,The East Course at Golf Resort at Indian Wells,44500 Indian Wells Ln,Indian Wells,CA,92210,"100,000 (estimated)",Resort,1986,$140.00
345,The West Course at Golf Resort at Indian Wells,44500 Indian Wells Ln,Indian Wells,CA,92210,"100,000 (estimated)",Resort,1986,$140.00
346,West Cove North Cove Course at Indian Wells Country Club,46-000 Club Dr,Indian Wells,CA,92210,"50,000 (estimated)",Private,1975,$175.00
347,Heritage Palms Golf Club,44291 Heritage Palms Dr S,Indio,CA,92201,"16,600 (estimated)",Semi-Private,1996,$95.00
348,Indian Mountain Course at Indian Palms Country Club,48630 Monroe St,Indio,CA,92201,"67,000 (estimated)",Resort,1948,$65.00
349,Indio Golf Club,83-040 Ave 42,Indio,CA,92203,"60,000 (estimated)",Public,1964,$20.00
350,Mountain Royal Course at Indian Palms Country Club,48630 Monroe St,Indio,CA,92201,"67,000 (estimated)",Resort,1946,$65.00
351,North Course at Landmark Golf Club,84-000 Landmark Pkwy,Indio,CA,92203,"80,000 (estimated)",Public,1999,$145.00
352,Plantation Golf Course,50994 Monroe St,Indio,CA,92201,N/A,Private,1996,$100.00
353,Rancho Casa Blanca Country Club,84-136 Ave 44,Indio,CA,92203,N/A,Private,1990,$10.00
354,Royal Indian Course at Indian Palms Country Club,48630 Monroe St,Indio,CA,92201,"67,000 (estimated)",Resort,1948,$50.00
355,South Course at Landmark Golf Club,84-000 Landmark Pkwy,Indio,CA,92203,"80,000 (estimated)",Public,1999,$145.00
356,Castle Oaks Golf Club,1000 Castle Oaks Dr,Ione,CA,95640,N/A,Public,1994,$45.00
357,El Toro Golf Course,7000 Trabuco Rd,Irvine,CA,92619,"54,000 (estimated)",Public,1945,$40.00
358,Oak Creek Golf Club,1 Golf Club Rd,Irvine,CA,92618,"44,000 (estimated)",Public,1996,$125.00
359,Rancho San Joaquin Golf Course,1 Sandburg Way,Irvine,CA,92612,N/A,Public,1969,$54.00
360,Strawberry Farms Golf Club,11 Strawberry Farms Rd,Irvine,CA,92612,N/A,Public,1997,$135.00
361,Canyon Meadow Course at Steele Canyon Golf & Country Club,3199 Stonefield Dr,Jamul,CA,91935,N/A,Semi-Private,1991,$75.00
362,Canyon Ranch Course at Steele Canyon Golf & Country Club,3199 Stonefield Dr,Jamul,CA,91935,N/A,Semi-Private,1991,$75.00
363,Ranch Meadow Course at Steele Canyon Golf & Country Club,3199 Stonefield Dr,Jamul,CA,91935,N/A,Semi-Private,1991,$75.00
364,Buckingham Golf & Country Club,2855 Eastlake Dr,Kelseyville,CA,95451,N/A,Semi-Private,1973,$26.00
365,Executive Course at Clear Lake Riviera Yacht & Golf Club,10200 Fairway Dr,Kelseyville,CA,95451,N/A,Semi-Private,1970,$6.00
366,Nine Hole Course at Clear Lake Riviera Yacht & Golf Club,10200 Fairway Dr,Kelseyville,CA,95451,N/A,Semi-Private,1970,$22.00
367,Fresno West Golf Course,23986 W Whitesbridge Rd,Kerman,CA,93630,"35,000 (estimated)",Public,1966,$16.00
368,Kern Valley Golf Course,9472 Burlando Rd,Kernville,CA,93238,N/A,Semi-Private,1960,$23.00
369,King City Golf Course,613 S Vanderhurst Ave,King City,CA,93930,"25,000 (estimated)",Public,1953,$16.00
370,Old Brockway Golf Course,7900 N Lake Blvd,Kings Beach,CA,96143,N/A,Public,1926,$55.00
371,Kings River Golf & Country Club,3100 Ave 400,Kingsburg,CA,93631,N/A,Private,1955,$30.00
372,Eagles Nest Golf Course,22112 Walker Rd,Klamath River,CA,96050,N/A,Public,1972,$14.00
373,La Canada Flintridge Country Club,5500 Godbey Dr,La Canada,CA,91011,"40,000 (estimated)",Private,1962,$45.00
374,Hidden Hills Resort & Golf Club,7643 Fachada Way,La Grange,CA,95329,N/A,Resort,1971,$25.00
375,Westridge Golf Club,1400 S La Habra Hills Dr,La Habra,CA,90631,N/A,Public,1999,$80.00
376,Hacienda Golf Club,718 E Rd,La Habra Heights,CA,90631,"40,000 (estimated)",Private,1920,$60.00
377,La Jolla Beach & Tennis Club,2000 Spindrift Dr,La Jolla,CA,92037,N/A,Private,,$6.00
378,La Jolla Country Club,7301 High Ave Extension,La Jolla,CA,92038,N/A,Private,1927,$80.00
379,North Course at Torrey Pines Municipal Golf Course,11480 N Torrey Pines Rd,La Jolla,CA,92037,N/A,Public,1957,$85.00
380,South Course at Torrey Pines Municipal Golf Course,11480 N Torrey Pines Rd,La Jolla,CA,92037,N/A,Public,1957,$135.00
381,Sun Valley Golf Course,5080 Memorial Dr,La Mesa,CA,91941,N/A,Public,1950,$12.00
382,La Mirada Golf Club,15501 E Alicante Rd,La Mirada,CA,90638,N/A,Public,1962,$25.00
383,Arnold Palmer Private Course at PGA WEST,55955 Pga Blvd,La Quinta,CA,92253,N/A,Semi-Private,1986,$230.00
384,Championship Course at Indian Springs Golf & Country Club,46-080 Jefferson St,La Quinta,CA,92253,"35,000 (estimated)",Semi-Private,2000,$85.00
385,Citrus Course at La Quinta Resort & Club,50-200 Avenida Vista Bonita,La Quinta,CA,92253,"78,000 (estimated)",Resort,1987,$80.00
386,Dunes Course at La Quinta Resort & Club,50-200 Avenida Vista Bonita,La Quinta,CA,92253,"78,000 (estimated)",Resort,1981,$145.00
387,Greg Norman Course at PGA WEST,55955 Pga Blvd,La Quinta,CA,92253,N/A,Semi-Private,N/A,N/A
388,Jack Nicklaus Private Course at PGA WEST,55955 Pga Blvd,La Quinta,CA,92253,N/A,Semi-Private,1987,$230.00
389,Jack Nicklaus Tournament Course at PGA WEST,55955 Pga Blvd,La Quinta,CA,92253,N/A,Semi-Private,1987,$185.00
390,La Quinta Country Club,77-750 50th Ave,La Quinta,CA,92253,N/A,Private,1959,$75.00
391,Mountain Course at La Quinta Resort & Club,50-200 Avenida Vista Bonita,La Quinta,CA,92253,"78,000 (estimated)",Resort,1980,$125.00
392,Palm Royale Country Club,78259 Indigo Dr,La Quinta,CA,92253,"30,000 (estimated)",Public,1986,$27.00
393,Palms Golf Club,81771 Airport Blvd,La Quinta,CA,92253,N/A,Private,1999,N/A
394,Par 3 Course at Indian Springs Golf & Country Club,46-080 Jefferson St,La Quinta,CA,92253,"35,000 (estimated)",Semi-Private,2000,$25.00
395,Par 3 Practice Course at Tradition Golf Club,78505 Old Ave 52,La Quinta,CA,92253,N/A,Private,1998,N/A
396,Quarry,79700 Quarry Ln,La Quinta,CA,92253,"25,000 (estimated)",Private,1994,$100.00
397,Rancho La Quinta Golf Course,79325 Cascades Circle,La Quinta,CA,92253,N/A,Private,1988,$195.00
398,SilverRock Resort,79-179 Ahmanson Lane,La Quinta,CA,92253,"40,000 (estimated)",Public,2005,$160.00
399,Tom Weiskopf Private Course at PGA WEST,55955 Pga Blvd,La Quinta,CA,92253,N/A,Semi-Private,1996,$210.00
400,TPC Stadium Golf Course at PGA WEST,55955 Pga Blvd,La Quinta,CA,92253,N/A,Semi-Private,1986,$185.00
401,Tradition Course at Tradition Golf Club,78505 Old Ave 52,La Quinta,CA,92253,N/A,Private,1998,N/A
402,Trilogy Golf Club at La Quinta,60-151 Trilogy Pkwy,La Quinta,CA,92253,N/A,Public,2003,$119.00
403,Marshall Canyon Golf Club,6100 N Stephens Ranch Rd,La Verne,CA,91750,N/A,Public,,$25.00
404,Sierra La Verne Country Club,6300 Country Club Dr,La Verne,CA,91750,N/A,Private,1974,$50.00
405,Aliso Creek Golf Course,31106 S Coast Hwy,Laguna Beach,CA,92651,N/A,Resort,1950,$39.00
406,1 & 2 Course at Laguna Hills Golf Course at Leisure World,24112 Moulton Pkwy,Laguna Hills,CA,92653,"120,000 (estimated)",Private,1968,$25.00
407,1 & 3 Course at Laguna Hills Golf Course at Leisure World,24112 Moulton Pkwy,Laguna Hills,CA,92653,"120,000 (estimated)",Private,1968,$25.00
408,2 & 3 Course at Laguna Hills Golf Course at Leisure World,24112 Moulton Pkwy,Laguna Hills,CA,92653,"120,000 (estimated)",Private,1968,$25.00
409,Par 3 Course at Laguna Hills Golf Course at Leisure World,24112 Moulton Pkwy,Laguna Hills,CA,92653,"120,000 (estimated)",Private,1977,$6.00
410,El Niguel Country Club,23700 Clubhouse Dr,Laguna Niguel,CA,92677,"50,000 (estimated)",Private,1965,$60.00
411,Lake Almanor Country Club,501 Peninsula Dr,Lake Almanor,CA,96137,"32,000 (estimated)",Semi-Private,1972,$36.00
412,Lake Arrowhead Country Club,250 Golf Course Rd,Lake Arrowhead,CA,92352,"28,000 (estimated)",Private,1963,$75.00
413,Lake Elizabeth Golf Club,42505 Ranch Club Rd,Lake Elizabeth,CA,93532,"35,000 (estimated)",Public,1962,$35.00
414,Lake Forest Golf & Practice Center,23308 Cherry Ave,Lake Forest,CA,92630,N/A,Public,,$21.00
415,Executive Course at Lake San Marcos Country Club,1750 San Pablo Dr,Lake San Marcos,CA,92069,"55,000 (estimated)",Private,1976,$16.00
416,Lake San Marcos Course at Lake San Marcos Country Club,1750 San Pablo Dr,Lake San Marcos,CA,92069,"55,000 (estimated)",Private,1961,$60.00
417,Lake San Marcos Resort & Executive Golf Course,1556 Camino Del Arroyo,Lake San Marcos,CA,92069,N/A,Public,1977,$16.00
418,Barona Creek Golf Club,1000 Wildcat Canyon Rd,Lakeside,CA,92040,N/A,Public,2001,$75.00
419,Willowbrook Country Club,11905 Riverside Dr,Lakeside,CA,92040,N/A,Public,1955,$22.00
420,Lakewood Country Club,3101 E Carson St,Lakewood,CA,90712,N/A,Public,1933,$27.00
421,Lancaster Golf Center,431 E Ave K-4,Lancaster,CA,93535,"15,000 (estimated)",Public,1997,$14.00
422,Rancho Sierra Golf Club,47205 60th St E,Lancaster,CA,93535,"55,000 (estimated)",Public,1965,$21.50
423,North Course at Alondra Park Golf Course,16400 S Prairie Ave,Lawndale,CA,90260,"70,000 (estimated)",Public,1947,$25.00
424,South Par 3 Course at Alondra Park Golf Course,16400 S Prairie Ave,Lawndale,CA,90260,"70,000 (estimated)",Public,1950,$11.00
425,Lemoore Golf Course,350 Iona Ave,Lemoore,CA,93245,"51,000 (estimated)",Public,1963,$19.00
426,Likely Place RV & Golf,Jess Valley Rd,Likely,CA,96116,N/A,Public,1999,$15.00
427,Catta Verdera Golf Club,12 Bridges Dr,Lincoln,CA,95648,"45,000 (estimated)",Semi-Private,1996,$60.00
428,Lincoln Hills Club,1005 Sun City Lane,Lincoln,CA,95648,N/A,Public,2000,$60.00
429,Turkey Creek Golf Club,1525 State Route 193,Lincoln,CA,95648,N/A,Public,1999,$65.00
430,Lindsay Municipal Golf Course,801 N Elmwood Ave,Lindsay,CA,93247,"20,000 (estimated)",Public,1963,$8.00
431,Little River Inn Golf & Tennis Club,77504 N Hwy 1,Little River,CA,95456,"25,000 (estimated)",Public,1951,$30.00
432,Chardonnay Zinfandel Course at Poppy Ridge Golf Course,4280 Greenville Rd,Livermore,CA,94550,N/A,Public,1996,$78.00
433,Course at Wente Vineyards,5050 Arroyo Rd,Livermore,CA,94550,N/A,Public,1998,$95.00
434,Executive Course at Las Positas Golf Course,917 Clubhouse Dr,Livermore,CA,94550,N/A,Public,1990,$15.00
435,Merlot Chardonnay Course at Poppy Ridge Golf Course,4280 Greenville Rd,Livermore,CA,94550,N/A,Public,1996,$78.00
436,Regulation Course at Las Positas Golf Course,917 Clubhouse Dr,Livermore,CA,94550,N/A,Public,1967,$35.00
437,Springtown Golf Course,939 Larkspur Dr,Livermore,CA,94550,N/A,Public,1963,$25.00
438,Zinfandel Merlot Course at Poppy Ridge Golf Course,4280 Greenville Rd,Livermore,CA,94550,N/A,Public,1996,$78.00
439,Crystalaire Country Club,15701 Boca Raton Ave,Llano,CA,93544,"30,000 (estimated)",Private,1958,$61.00
440,Lockeford Springs Golf Course,16360 N Hwy 88,Lodi,CA,95240,"50,000 (estimated)",Public,1995,$30.00
441,Micke Grove Golf Links,11401 N Micke Grove Rd,Lodi,CA,95240,"72,000 (estimated)",Public,1992,$27.00
442,La Purisima Golf Course,3455 State Hwy 246,Lompoc,CA,93436,"40,000 (estimated)",Public,1986,$70.00
443,Village Country Club,4300 Clubhouse Rd,Lompoc,CA,93436,"36,000 (estimated)",Private,1962,$60.00
444,Mt. Whitney Golf Club,S Main St,Lone Pine,CA,93545,N/A,Public,1959,$21.00
445,Bixby Village Golf Course,6180 Bixby Village Dr,Long Beach,CA,90803,N/A,Public,1980,$17.00
446,El Dorado Park Golf Club,2400 N Studebaker Rd,Long Beach,CA,90815,"100,000 (estimated)",Public,1952,$32.00
447,Heartwell Golf Course,6700 E Carson St,Long Beach,CA,90808,N/A,Public,1962,$13.75
448,Recreation Park American Golf Club,5001 Dukemajian Dr,Long Beach,CA,90804,N/A,Public,1960,$22.50
449,Recreation Park South,5000 E 7th St,Long Beach,CA,90804,"50,000 (estimated)",Public,1960,$14.50
450,Skylinks Golf Course,4800 E Wardlow Rd,Long Beach,CA,90808,N/A,Public,1959,$25.00
451,Virginia Country Club,4602 Virginia Rd,Long Beach,CA,90807,N/A,Private,1926,$69.00
452,Indian Creek Country Club,4487 Barton Rd,Loomis,CA,95650,N/A,Public,1967,$17.00
453,Los Altos Golf & Country Club,1560 Country Club Dr,Los Altos,CA,94024,"40,000 (estimated)",Private,1923,$70.00
454,Bel-Air Country Club,10768 Bellagio Rd,Los Angeles,CA,90077,"45,000 (estimated)",Private,1927,$150.00
455,Brentwood Country Club,590 S Burlingame Ave,Los Angeles,CA,90049,"38,000 (estimated)",Private,1910,$60.00
456,Chester Washington Golf Course,1930 W 120th St,Los Angeles,CA,90047,N/A,Public,N/A,$25.00
457,Harding Course at Griffith Park Golf Courses,4730 Crystal Springs Dr,Los Angeles,CA,90027,N/A,Public,1933,$28.50
458,Hillcrest Country Club,10000 W Pico Blvd,Los Angeles,CA,90064,N/A,Private,1920,$65.00
459,Lake North Course at Mountain Gate Country Club,12445 Mountain Gate Dr,Los Angeles,CA,90049,"80,000 (estimated)",Private,1975,$125.00
460,Los Feliz Golf Course,3207 Los Feliz Blvd,Los Angeles,CA,90039,N/A,Public,1962,$10.00
