,name,street,town,state,zipcode,annual_rounds,ownership,year_built,green_fees
81,Chula Vista Golf Course,4475 Bonita Rd,Bonita,CA,91902,N/A,Public,1961,$28.00
82,San Luis Rey Downs Golf & Country Club,31474 Golf Club Dr,Bonsall,CA,92003,N/A,Resort,1965,$64.00
83,Club Circle Golf Course,Club Circle,Borrego Springs,CA,92004,N/A,Public,1998,$12.00
84,De Anza Desert Country Club,509 Catarina Dr,Borrego Springs,CA,92004,"27,000 (estimated)",Private,1959,$60.00
85,Desertwillow Course at Borrego Springs Resort & Country Club,1112 Titling T Dr,Borrego Springs,CA,92004,"27,000 (estimated)",Resort,1998,$64.00
86,Mesquite Course at Borrego Springs Resort & Country Club,1112 Titling T Dr,Borrego Springs,CA,92004,"27,000 (estimated)",Resort,1998,$64.00
87,Palms Course at Borrego Springs Resort & Country Club,1112 Titling T Dr,Borrego Springs,CA,92004,"27,000 (estimated)",Resort,1998,$64.00
88,Rams Hill Country Club,1881 Rams Hill Rd,Borrego Springs,CA,92004,"40,000 (estimated)",Semi-Private,1982,N/A
89,Road Runner Club,1010 Palm Canyon Dr,Borrego Springs,CA,92004,"15,000 (estimated)",Semi-Private,1970,$20.00
90,Boulder Creek Golf & Country Club,16901 Big Basin Hwy,Boulder Creek,CA,95006,"60,000 (estimated)",Resort,1961,$40.00
91,Del Rio Country Club,102 E Del Rio Rd,Brawley,CA,92227,N/A,Semi-Private,1926,$35.00
92,Birch Hills Golf Course,2250 E Birch St,Brea,CA,92821,"100,000 (estimated)",Public,1972,$24.00
93,Brea Golf Course,501 W Fir St,Brea,CA,92821,N/A,Public,1957,$18.00
94,Brentwood Lake,N/A,Brentwood,CA,N/A,N/A,Public,,N/A
95,Championship Course at Brentwood Country Club,100 Summerset Dr,Brentwood,CA,94513,N/A,Public,1994,$60.00
96,Deer Ridge Country Club,801 Foothill Drive,Brentwood,CA,94513,"30,000 (estimated)",Semi-Private,2004,$58.00
97,Executive Par 3 Course at Brentwood Country Club,100 Summerset Dr,Brentwood,CA,94513,N/A,Public,1995,$24.00
98,Shadow Lakes Golf Club,401 W Country Club Dr,Brentwood,CA,94513,N/A,Public,2001,$80.00
99,Zaca Creek Golf Course,223 Shadow Mountain Dr,Buellton,CA,93427,N/A,Public,1986,$15.00
100,Buena Park Golf Center,5151 Beach Blvd,Buena Park,CA,90621,N/A,Public,1965,$12.00
101,Lake Valley Course at Los Coyotes Country Club,8888 Los Coyotes Dr,Buena Park,CA,90621,"70,000 (estimated)",Private,1958,$100.00
102,Valley Vista Course at Los Coyotes Country Club,8888 Los Coyotes Dr,Buena Park,CA,90621,"70,000 (estimated)",Private,1958,$100.00
103,Vista Lake Course at Los Coyotes Country Club,8888 Los Coyotes Dr,Buena Park,CA,90621,"70,000 (estimated)",Private,1958,$100.00
104,Lakeside Golf Club,4500 Lakeside Dr,Burbank,CA,91505,"25,000 (estimated)",Private,1924,$65.00
105,Par 3 Course at De Bell Municipal Golf Course,1500 Walnut Ave,Burbank,CA,91501,"100,000 (estimated)",Public,,$6.00
106,Regulation Course at De Bell Municipal Golf Course,1500 Walnut Ave,Burbank,CA,91501,"100,000 (estimated)",Public,1958,$23.00
107,Crystal Springs Golf Course,6650 Golf Course Dr,Burlingame,CA,94010,N/A,Semi-Private,1924,$80.00
108,Discovery Bay Country Club,1475 Clubhouse Dr,Byron,CA,94514,"48,000 (estimated)",Private,1986,$75.00
109,Calabasas Golf & Country Club,4515 Park Entrada,Calabasas,CA,91302,N/A,Private,1968,$85.00
110,Tierra del Sol Golf Club,10300 N Loop Dr,California City,CA,93505,"40,000 (estimated)",Public,1977,$18.00
111,Calimesa Country Club,1300 S 3rd St,Calimesa,CA,92320,"55,000 (estimated)",Public,1959,$23.00
112,Mount Saint Helena Golf Course,Napa County Fairgrounds,Calistoga,CA,94515,"20,000 (estimated)",Public,1952,$18.00
113,Camarillo Springs Golf Course,791 Camarillo Springs Rd,Camarillo,CA,93012,"91,000 (estimated)",Public,1971,$45.00
114,Las Posas Country Club,955 Fairway Dr,Camarillo,CA,93010,"36,000 (estimated)",Private,1958,$70.00
115,Spanish Hills Golf & Country Club,999 Crestview Ave,Camarillo,CA,93010,"40,000 (estimated)",Private,1994,$85.00
116,Sterling Hills Golf Club,901 Sterling Hills Dr,Camarillo,CA,93010,N/A,Public,1999,$44.00
117,Cameron Park Country Club,3201 Royal Dr,Cameron Park,CA,95682,"50,000 (estimated)",Private,1962,$45.00
118,Apple Mountain Golf Resort,3430 N Canyon,Camino,CA,95709,N/A,Public,1997,$60.00
119,Camino Heights Golf Course,3020 Vista Tierra Rd,Camino,CA,95709,N/A,Private,1993,$12.50
120,Par 3 Course at Marine Memorial Golf Course,Marine Corps Base Bldg 18415,Camp Pendleton,CA,92055,"60,000 (estimated)",Military,1980,N/A
121,Regulation Course at Marine Memorial Golf Course,Marine Corps Base Bldg 18415,Camp Pendleton,CA,92055,"60,000 (estimated)",Military,1949,$32.00
122,Canyon Lake Country Club,32001 Railroad Canyon Rd,Canyon Lake,CA,92587,"45,000 (estimated)",Private,1969,$37.50
123,Aviara Golf Club,7447 Batiquitos Dr,Carlsbad,CA,92009,"47,000 (estimated)",Resort,1991,$175.00
124,North Course at La Costa Resort & Spa,2100 Costa Del Mar Rd,Carlsbad,CA,92009,"65,000 (estimated)",Resort,1964,$195.00
125,Rancho Carlsbad Country Club,5200 El Camino Real,Carlsbad,CA,92008,N/A,Public,1965,$14.50
126,South Course at La Costa Resort & Spa,2100 Costa Del Mar Rd,Carlsbad,CA,92009,"65,000 (estimated)",Resort,1964,$195.00
127,Carmel Valley Ranch Resort,One Old Ranch Rd,Carmel,CA,93923,"48,000 (estimated)",Resort,1980,$175.00
128,East Course at Rancho Canada Golf Club,4860 Carmel Valley Rd,Carmel,CA,93922,"120,000 (estimated)",Public,1970,$60.00
129,Preserve Golf Club,19 Pronghorn Run,Carmel,CA,93923,"9,000 (estimated)",Private,2000,$75.00
130,Quail Lodge Resort & Golf Club,8205 Valley Greens Dr,Carmel,CA,93923,"35,000 (estimated)",Resort,1963,$165.00
131,West Course at Rancho Canada Golf Club,4860 Carmel Valley Rd,Carmel,CA,93922,"120,000 (estimated)",Public,1970,$75.00
132,Tehama Golf Club,101 Via Malpaso,Carmel Valley,CA,93923,N/A,Private,1999,N/A
133,Ancil Hoffman Golf Course,6700 Tarshes Dr,Carmichael,CA,95608,N/A,Public,1965,$25.00
134,Dominguez Golf & Practice Center,19800 S Main St,Carson,CA,90745,"60,000 (estimated)",Public,1960,$11.00
135,Victoria Golf Course,340 E 192nd St,Carson,CA,90746,"75,000 (estimated)",Public,1962,$25.00
136,Willow Park Golf Course,17007 Redwood Rd,Castro Valley,CA,94546,"95,000 (estimated)",Public,1966,$30.00
137,Arroyo Lake Course at Cathedral Canyon Country Club,34567 Cathedral Canyon Dr,Cathedral City,CA,92234,"65,000 (estimated)",Resort,1990,$70.00
138,Date Palm Springs Country Club,36200 Date Palm Dr,Cathedral City,CA,92234,N/A,Semi-Private,1970,$45.00
139,Eighteen Hole Executive Course at Outdoor Resort & Country Club,69411 Ramon Rd,Cathedral City,CA,92234,N/A,Private,1975,$18.00
140,El Cielo La Vista Course at Desert Princess Country Club,28555 Landau Blvd,Cathedral City,CA,92234,N/A,Private,1984,$120.00
141,La Vista Los Lagos Course at Desert Princess Country Club,28555 Landau Blvd,Cathedral City,CA,92234,N/A,Private,1984,$120.00
142,Lake Mountian Course at Cathedral Canyon Country Club,34567 Cathedral Canyon Dr,Cathedral City,CA,92234,"65,000 (estimated)",Resort,1975,$70.00
143,Long Course at Cimarron Golf Club,67-603 30th Ave,Cathedral City,CA,92234,N/A,Public,1999,$115.00
144,Los Lagos El Cielo Course at Desert Princess Country Club,28555 Landau Blvd,Cathedral City,CA,92234,N/A,Private,1984,$120.00
145,Mountain Arroyo Course at Cathedral Canyon Country Club,34567 Cathedral Canyon Dr,Cathedral City,CA,92234,"65,000 (estimated)",Resort,1990,$70.00
146,Nine Hole Course at Outdoor Resort & Country Club,69411 Ramon Rd,Cathedral City,CA,92234,N/A,Private,1980,$8.00
147,Short Course at Cimarron Golf Club,67-603 30th Ave,Cathedral City,CA,92234,N/A,Public,1999,$55.00
148,River Oaks Golf Course,3441 E Hatch Rd,Ceres,CA,95307,N/A,Public,1979,$14.00
149,Cerritos Iron-Wood Nine Golf Course,16449 Piuma Ave,Cerritos,CA,90703,"48,000 (estimated)",Public,1976,$16.00
150,Highland Springs Village Golf Club,10370 Overland Trl,Cherry Valley,CA,92223,N/A,Private,,$8.00
151,Lake Almanor West Golf Course,111 Slim Dr,Chester,CA,96020,"26,000 (estimated)",Public,1974,$30.00
152,Bidwell Park Golf Course,3199 Golf Course Rd,Chico,CA,95973,"60,000 (estimated)",Public,1935,$22.00
153,Butte Creek Country Club,175 Estates Dr,Chico,CA,95928,"30,000 (estimated)",Private,1965,$75.00
154,Canyon Oaks Country Club,999 Yosemite Dr,Chico,CA,95928,"40,000 (estimated)",Private,1990,$45.00
155,Sunset Hills Golf Course,13301 Garner Ln,Chico,CA,95973,"30,000 (estimated)",Public,1954,$12.00
156,Butterfield Stage Course at El Prado Golf Courses,6555 Pine Ave,Chino,CA,91710,"120,000 (estimated)",Public,1976,$34.00
157,Chino Creek Course at El Prado Golf Courses,6555 Pine Ave,Chino,CA,91710,"120,000 (estimated)",Public,1970,$34.00
158,Chino Hills Golf Club,N/A,Chino Hills,CA,N/A,N/A,N/A,,N/A
159,North Course at Los Serranos Golf & Country Club,15656 Yorba Ave,Chino Hills,CA,91709,"140,000 (estimated)",Public,1925,$55.00
160,South Course at Los Serranos Golf & Country Club,15656 Yorba Ave,Chino Hills,CA,91709,"140,000 (estimated)",Public,1960,$65.00
161,Western Hills Golf & Country Club,1800 Carbon Canyon Rd,Chino Hills,CA,91709,"40,000 (estimated)",Private,1963,$60.00
162,Pheasant Run Golf Course,19 Clubhouse Dr,Chowchilla,CA,93610,"41,600 (estimated)",Public,1998,$33.00
163,Auld Course,525 Hunte Pkwy,Chula Vista,CA,91915,"45,000 (estimated)",Public,2001,$78.00
164,Eastlake Country Club,2375 Clubhouse Dr,Chula Vista,CA,91915,N/A,Public,1991,$65.00
165,San Diego Country Club,88 L St,Chula Vista,CA,91911,"50,000 (estimated)",Private,1920,$60.00
166,Sunrise Golf Course,6412 Sunrise Blvd,Citrus Heights,CA,95610,"25,000 (estimated)",Private,1970,$15.00
167,Babe Didrikson Zaharias Course,One Industry Hills Pkwy,City Of Industry,CA,91744,"150,000 (estimated)",Resort,1979,$93.00
168,Dwight D. Eisenhower Course at Industry Hills Pacific Palms Resort,One Industry Hills Pkwy,City Of Industry,CA,91744,"150,000 (estimated)",Resort,1979,$93.00
169,Claremont Golf Course,1550 N Indian Hill Blvd,Claremont,CA,91711,"55,000 (estimated)",Public,1959,$17.00
170,Oakhurst Country Club,1001peacock Creek Dr,Clayton,CA,94517,"54,000 (estimated)",Private,1990,$80.00
171,Dragon at Gold Mountain,3887 County Rd A-15,Clio,CA,96106,N/A,Resort,1998,$139.00
172,Dragon Golf Course,348 Bear Run,Clio,CA,96106,"20,000 (estimated)",Resort,2000,$120.00
173,Golf Club at Whitehawk Ranch,768 Whitehawk Drive,Clio,CA,96106,"20,000 (estimated)",Resort,1996,$140.00
174,Lonesome Dove Golf Course,41605 S Sutter Rd,Coalinga,CA,93210,"22,000 (estimated)",Public,1937,$14.00
175,Yosemite Lakes Park Golf Course,30250 Yosemite Springs Ct,Coarsegold,CA,93614,N/A,Private,1965,$12.00
176,Adam Springs Golf Course,14347 Snead Court,Cobb,CA,95426,"22,000 (estimated)",Semi-Private,1963,$20.00
177,Hobergs Forest Lake Golf Course,10200 Golf Rd,Cobb,CA,95426,N/A,Public,1953,$20.00
178,Cypress Golf Course,2001 Hillside Blvd,Colma,CA,94014,"40,000 (estimated)",Public,1963,N/A
179,Colton Golf Club,1901 Valley Blvd,Colton,CA,92324,"70,000 (estimated)",Public,1963,$17.00
180,Colusa Golf & Country Club,2224 Hwy 20,Colusa,CA,95932,N/A,Semi-Private,1956,$20.00
181,Compton Par 3 Golf Course,6400 E Compton Blvd,Compton,CA,90221,N/A,Public,1958,$7.50
182,Buchanan Fields Golf Course,1091 Concord Ave,Concord,CA,94520,"26,500 (estimated)",Public,1955,$18.00
183,Diablo Creek Golf Course,4050 Port Chicago Hwy,Concord,CA,94520,N/A,Public,1963,$23.00
184,Auburn Lake Trails Golf Course,2277 Westville Trl,Cool,CA,95614,N/A,Private,1974,$15.00
185,Saddle Creek Golf Club,1001 Saddle Creek Dr,Copperopolis,CA,95228,"34,000 (estimated)",Semi-Private,1996,$90.00
186,Cresta Verde Golf Club,1295 Cresta Rd,Corona,CA,92879,"46,000 (estimated)",Public,1926,$39.00
187,Eagle Glen Golf Club,1800 Eagle Glen Pkwy,Corona,CA,92883,"53,000 (estimated)",Public,1999,$105.00
188,Mountain View Country Club,2121 Mountain View Dr,Corona,CA,92882,"65,000 (estimated)",Public,1962,$39.00
189,Orange Course at Green River Golf Club,5215 Green River Rd,Corona,CA,92880,"200,000 (estimated)",Public,1959,$40.00
190,Riverside Course at Green River Golf Club,5215 Green River Rd,Corona,CA,92880,"200,000 (estimated)",Public,1992,$40.00
191,Coronado Golf Course,2000 Visalia Row,Coronado,CA,92118,"120,000 (estimated)",Public,1957,$25.00
192,Los Lagos Course at Costa Mesa Golf & Country Club,1701 Golf Course Dr,Costa Mesa,CA,92626,N/A,Public,1968,$33.00
193,Mesa Linda Course at Costa Mesa Golf & Country Club,1701 Golf Course Dr,Costa Mesa,CA,92626,N/A,Public,1968,$25.00
194,Mesa Verde Country Club,3000 Club House Rd,Costa Mesa,CA,92626,"51,000 (estimated)",Private,1959,$90.00
195,North Course at Coto de Caza Golf & Racquet Club,25291 Vista Del Verde,Coto De Caza,CA,92679,"40,000 (estimated)",Private,1987,$100.00
196,South Course at Coto de Caza Golf & Racquet Club,25291 Vista Del Verde,Coto De Caza,CA,92679,"40,000 (estimated)",Private,1995,$100.00
197,Tournament Course at Coyote Creek,Hwy 101,Coyote,CA,95013,"70,000 (estimated)",Public,1999,$110.00
198,Valley Course at Coyote Creek,Hwy 101,Coyote,CA,95013,"70,000 (estimated)",Public,2001,$59.00
199,Del Norte Golf Club,130 Club Dr,Crescent City,CA,95531,N/A,Semi-Private,1953,$18.00
200,Kings Valley Golf Course,3030 Lesina Rd,Crescent City,CA,95531,N/A,Public,1965,$11.00
201,Mount Huff Golf Course,Arlington Rd & Hwy 89,Crescent Mills,CA,95934,"17,000 (estimated)",Public,1974,$16.00
202,Blackberry Farm Golf Course,22100 Stevens Creek Blvd,Cupertino,CA,95014,"80,000 (estimated)",Public,1962,$22.00
203,Deep Cliff Golf Course,10700 Club House Ln,Cupertino,CA,95014,"90,000 (estimated)",Public,1961,$33.00
204,Cruiser Course at Seal Beach Navy Golf Course,5660 Orangewood Ave,Cypress,CA,90630,"112,000 (estimated)",Military,1970,$12.00
205,Destroyer Course at Seal Beach Navy Golf Course,5660 Orangewood Ave,Cypress,CA,90630,"112,000 (estimated)",Military,1970,$30.00
206,Lake Merced Golf Club,2300 Junipero Sierra Blvd,Daly City,CA,94015,"35,000 (estimated)",Private,1922,$200.00
207,Monarch Beach Golf Links,22 Monarch Beach Resort Dr. N.,Dana Point,CA,92629,"50,000 (estimated)",Resort,1984,$200.00
208,Crow Canyon Country Club,711 Silver Lake Dr,Danville,CA,94526,"70,000 (estimated)",Private,1976,$75.00
209,Falls Course at Blackhawk Country Club,599 Blackhawk Club Dr,Danville,CA,94506,"70,000 (estimated)",Private,1988,$75.00
210,Lakeside Course at Blackhawk Country Club,599 Blackhawk Club Dr,Danville,CA,94506,"70,000 (estimated)",Private,1982,$90.00
211,Davis Golf Course,24439 Fairway Dr,Davis,CA,95616,N/A,Public,1964,$15.00
212,Wildhorse Golf Course,2323 Rockwell,Davis,CA,95616,N/A,Public,1998,$45.00
213,Furnace Creek Inn & Ranch Resort,1 Furnace Creek Blvd,Death Valley,CA,92328,"23,000 (estimated)",Resort,1927,$50.00
214,Delano Golf Course,104 S Lexington St,Delano,CA,93215,"30,000 (estimated)",Public,1960,$10.00
215,Lake Tamarisk Golf Course,26-251 Parkview Dr,Desert Center,CA,92239,N/A,Semi-Private,1968,$16.00
216,Desert Crest Country Club,69400 S Country Club Dr,Desert Hot Springs,CA,92241,N/A,Semi-Private,1967,$11.00
