date,time,air_temp
20220611,1700,15.8
20220611,1705,15.9
20220611,1710,16
20220611,1715,16
20220611,1720,16.2
20220611,1725,16.3
20220611,1730,16.7
20220611,1735,16.5
20220611,1740,16.5
20220611,1745,16.4
20220611,1750,16.3
20220611,1755,16.4
20220611,1800,16.5
20220611,1805,16.5
20220611,1810,16.8
20220611,1815,17.3
20220611,1820,16.9
20220611,1825,17.1
20220611,1830,17.2
20220611,1835,17.1
20220611,1840,17
20220611,1845,17
20220611,1850,17.1
20220611,1855,17.2
20220611,1900,17.2
20220611,1905,17.1
20220611,1910,17.4
20220611,1915,17.2
20220611,1920,17
20220611,1925,17.2
20220611,1930,17
20220611,1935,16.7
20220611,1940,16.6
20220611,1945,16.5
20220611,1950,16.3
20220611,1955,16.3
20220611,2000,16.2
20220611,2005,16.3
20220611,2010,16.3
20220611,2015,16.2
20220611,2020,16.4
20220611,2025,16.2
20220611,2030,16.6
20220611,2035,16.4
20220611,2040,16.5
20220611,2045,16.7
20220611,2050,16.4
20220611,2055,16.4
20220611,2100,16.3
20220611,2105,16.3
20220611,2110,16.5
20220611,2115,16.2
20220611,2120,16.4
20220611,2125,16.2
20220611,2130,16.4
20220611,2135,16.5
20220611,2140,16.7
20220611,2145,17.1
20220611,2150,17.1
20220611,2155,17.6
20220611,2200,17.2
20220611,2205,17
20220611,2210,17.4
20220611,2215,17.3
20220611,2220,17.3
20220611,2225,17.3
20220611,2230,17.3
20220611,2235,17.1
20220611,2240,17
20220611,2245,17
20220611,2250,17.1
20220611,2255,17
20220611,2300,16.7
20220611,2305,16.7
20220611,2310,16.6
20220611,2315,16.9
20220611,2320,16.9
20220611,2325,16.9
20220611,2330,17.1
20220611,2335,17.3
20220611,2340,17.3
20220611,2345,17.3
20220611,2350,17.5
20220611,2355,17.4
20220612,0000,17.5
20220612,0005,17.6
20220612,0010,17.5
20220612,0015,17.5
20220612,0020,17.7
20220612,0025,17.5
20220612,0030,17.3
20220612,0035,17.4
20220612,0040,17.3
20220612,0045,17.3
20220612,0050,17
20220612,0055,17.1
20220612,0100,17
20220612,0105,17
20220612,0110,17.1
20220612,0115,17.1
20220612,0120,17.2
20220612,0125,17.2
20220612,0130,17.1
20220612,0135,17
20220612,0140,17
20220612,0145,17.1
20220612,0150,17.2
20220612,0155,17.3
20220612,0200,17.3
20220612,0205,17.3
20220612,0210,17.4
20220612,0215,17.4
20220612,0220,17.4
20220612,0225,17.4
20220612,0230,17.4
20220612,0235,17.2
20220612,0240,17.2
20220612,0245,17.1
20220612,0250,17.2
20220612,0255,17.2
20220612,0300,17
20220612,0305,16.8
20220612,0310,16.7
20220612,0315,16.4
20220612,0320,16.1
20220612,0325,15.8
20220612,0330,15.6
20220612,0335,15.3
20220612,0340,15
20220612,0345,14.7
20220612,0350,14.4
20220612,0355,14.3
20220612,0400,14.1
20220612,0405,13.9
20220612,0410,13.8
20220612,0415,13.4
20220612,0420,13
20220612,0425,12.9
20220612,0430,12.7
20220612,0435,12.5
20220612,0440,12.4
20220612,0445,12.2
20220612,0450,12.3
20220612,0455,12.2
20220612,0500,12
20220612,0505,11.9
20220612,0510,11.6
20220612,0515,11.3
20220612,0520,11.7
20220612,0525,11.7
20220612,0530,11.5
20220612,0535,11.6
20220612,0540,11.8
20220612,0545,11.9
20220612,0550,12
20220612,0555,11.8
20220612,0600,11.8
20220612,0605,11.8
