Region Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
NW,5/21/2022 5 p.m. PDT,2614,4160,17001,905,61,4908,7732,1149
NW,5/21/2022 6 p.m. PDT,3393,3618,18086,897,62,5431,7733,1150
NW,5/21/2022 7 p.m. PDT,3406,1897,18569,942,61,6522,8277,1152
NW,5/21/2022 8 p.m. PDT,2708,247,19291,949,60,7248,9333,1152
NW,5/21/2022 9 p.m. PDT,2773,30,19118,951,59,7133,9665,1153
NW,5/21/2022 10 p.m. PDT,2765,26,19469,945,62,6604,9575,1154
NW,5/21/2022 11 p.m. PDT,2781,2,19226,933,56,5907,9551,1156
NW,5/22/2022 12 a.m. PDT,2217,0,18113,995,60,5815,9549,1156
NW,5/22/2022 1 a.m. PDT,1764,1,17450,991,59,5668,6864,1156
NW,5/22/2022 2 a.m. PDT,1592,2,17226,994,62,5636,6907,1158
NW,5/22/2022 3 a.m. PDT,1423,2,17064,964,63,5381,6921,1158
NW,5/22/2022 4 a.m. PDT,1447,3,17266,973,62,5287,6929,1159
NW,5/22/2022 5 a.m. PDT,1416,-1,17520,1011,61,5365,6900,1160
NW,5/22/2022 6 a.m. PDT,1490,157,18051,1034,61,5367,6956,1160
NW,5/22/2022 7 a.m. PDT,1846,1731,17745,1028,62,4599,6815,1159
NW,5/22/2022 8 a.m. PDT,3099,3676,16992,1038,61,3040,5452,1158
NW,5/22/2022 9 a.m. PDT,3724,4297,16854,1007,62,2936,4334,1157
NW,5/22/2022 10 a.m. PDT,3656,4446,17229,933,60,2673,4076,1155
NW,5/22/2022 11 a.m. PDT,3892,4416,17245,928,61,2543,3850,1155
NW,5/22/2022 12 p.m. PDT,3937,4559,17013,869,61,2531,3707,1152
NW,5/22/2022 1 p.m. PDT,4131,4484,16622,823,61,2472,3791,1151
NW,5/22/2022 2 p.m. PDT,4295,4517,16443,813,60,2620,3885,1151
NW,5/22/2022 3 p.m. PDT,4459,4518,16567,809,61,2824,4149,1151
NW,5/22/2022 4 p.m. PDT,4844,4452,16745,800,61,3327,5068,1150
NW,5/22/2022 5 p.m. PDT,4676,4311,17331,789,61,4167,5661,1151
NW,5/22/2022 6 p.m. PDT,4249,3631,17805,785,62,5176,6181,1149
NW,5/22/2022 7 p.m. PDT,4057,1654,19474,833,62,6728,6969,1151
NW,5/22/2022 8 p.m. PDT,3969,245,19274,806,61,6870,7261,1149
NW,5/22/2022 9 p.m. PDT,4382,29,19601,794,61,6307,7141,1149
