"zip","population","city","county"
"97886",948,"Weston","Umatilla County"
"97869",938,"Prairie City","Grant County"
"97388",920,"Gleneden Beach","Lincoln County"
"97011",903,"Brightwood","Clackamas County"
"97488",893,"Vida","Lane County"
"97413",892,"Blue River","Lane County"
"97812",883,"Arlington","Gilliam County"
"97117",866,"Gales Creek","Washington County"
"97326",865,"Blodgett","Lincoln County"
"97063",862,"Tygh Valley","Wasco County"
"97453",845,"Mapleton","Lane County"
"97037",839,"Maupin","Wasco County"
"97429",821,"Days Creek","Douglas County"
"97434",817,"Dorena","Lane County"
"97843",790,"Ione","Morrow County"
"97481",781,"Tenmile","Douglas County"
"97450",765,"Langlois","Curry County"
"97907",761,"Huntington","Baker County"
"97108",759,"Beaver","Tillamook County"
"97419",759,"Cheshire","Lane County"
"97130",718,"Manzanita","Tillamook County"
"97118",716,"Garibaldi","Tillamook County"
"97436",703,"Elkton","Douglas County"
"97065",694,"Wasco","Sherman County"
"97486",688,"Umpqua","Douglas County"
"97901",676,"Adrian","Malheur County"
"97534",668,"O'Brien","Josephine County"
"97627",654,"Keno","Klamath County"
"97857",649,"Lostine","Wallowa County"
"97833",644,"Haines","Baker County"
"97830",635,"Fossil","Wheeler County"
"97412",633,"Blachly","Lane County"
"97910",627,"Jordan Valley","Malheur County"
"97371",607,"Rickreall","Polk County"
"97543",594,"Wilderville","Josephine County"
"97522",585,"Butte Falls","Jackson County"
"97377",581,"Shedd","Linn County"
"97447",581,"Idleyld Park","Douglas County"
"97870",580,"Richland","Baker County"
"97451",561,"Lorane","Lane County"
"97109",553,"Buxton","Washington County"
"97149",549,"Neskowin","Tillamook County"
"97390",515,"Tidewater","Lincoln County"
"97490",499,"Walton","Lane County"
"97364",498,"Neotsu","Lincoln County"
"97856",498,"Long Creek","Grant County"
"97737",492,"Gilchrist","Klamath County"
"97841",491,"Imbler","Union County"
"97835",488,"Helix","Umatilla County"
"97343",484,"Eddyville","Lincoln County"
"97733",468,"Crescent","Klamath County"
"97039",464,"Moro","Sherman County"
"97634",445,"Midland","Klamath County"
"97410",436,"Azalea","Douglas County"
"97345",434,"Foster","Linn County"
"97147",429,"Wheeler","Tillamook County"
"97638",427,"Silver Lake","Lake County"
"97102",420,"Arch Cape","Clatsop County"
"97825",407,"Dayville","Grant County"
"97750",402,"Mitchell","Wheeler County"
"97636",396,"Paisley","Lake County"
"97029",390,"Grass Valley","Sherman County"
"97001",386,"Antelope","Wasco County"
"97430",374,"Deadwood","Lane County"
"97122",373,"Hebo","Tillamook County"
"97874",366,"Spray","Wheeler County"
"97880",348,"Ukiah","Umatilla County"
"97635",345,"New Pine Creek","Modoc County"
"97480",328,"Swisshome","Lane County"
"97493",324,"Westlake","Lane County"
"97906",322,"Harper","Malheur County"
"97531",321,"Kerby","Josephine County"
"97730",321,"Camp Sherman","Jefferson County"
"97877",319,"Sumpter","Grant County"
"97473",315,"Scottsburg","Douglas County"
"97406",303,"Agness","Curry County"
"97476",302,"Sixes","Curry County"
"97864",295,"Monument","Grant County"
"97839",294,"Lexington","Morrow County"
"97441",278,"Gardiner","Douglas County"
"97369",274,"Otter Rock","Lincoln County"
"97731",273,"Chemult","Klamath County"
"97414",272,"Broadbent","Coos County"
"97335",249,"Crabtree","Linn County"
"97621",239,"Beatty","Klamath County"
"97859",235,"Meacham","Umatilla County"
"97484",225,"Tiller","Douglas County"
"97145",224,"Tolovana Park","Clatsop County"
"97622",223,"Bly","Klamath County"
"97626",223,"Fort Klamath","Klamath County"
"97904",222,"Drewsey","Harney County"
"97050",220,"Rufus","Sherman County"
"97721",220,"Princeton","Harney County"
"97848",215,"Kimberly","Grant County"
"97028",190,"Government Camp","Clackamas County"
"97432",187,"Dillard","Douglas County"
"97373",172,"Saint Benedict","Marion County"
"97873",167,"Seneca","Grant County"
