name,street,town,state,zipcode,annual_rounds,ownership,year_built,green_fees ($)
Eagle Creek Golf Course,25805 Se Dowty Rd,Eagle Creek,OR,97022,"32,000 (estimated)",Public,1993,13
Eagle Point Golf Course,100 Eagle Point Dr,Eagle Point,OR,97524,N/A,Public,1996,48
Stone Ridge Golf Club,500 E Antelope,Eagle Point,OR,97524,"35,000 (estimated)",Public,1995,26
Echo Hills Golf Course,100 Golf Course Rd,Echo,OR,97826,N/A,Public,1940,20
Alpine Meadows Golf Course,66098 Golf Course Rd.,Enterprise,OR,97828,N/A,Public,1926,18
Springwater Golf Course,25230 S Wallens Rd,Estacada,OR,97023,"42,000 (estimated)",Public,1962,22
Eugene Country Club,255 Country Club Rd,Eugene,OR,97401,"40,000 (estimated)",Private,1927,125
Eugene Eagles On The Green 275,1375 Irving Rd,Eugene,OR,97404,N/A,Private,,8
Fiddlers Green Golf Course,91292 Hwy 99 N,Eugene,OR,97402,N/A,Public,1964,12
Laurelwood Golf Course,2700 Columbia St,Eugene,OR,97403,"25,000 (estimated)",Public,,15
Oakway Golf Course,2000 Cal Young Rd,Eugene,OR,97401,"60,000 (estimated)",Public,1947,20
Riveridge Golf Course,3800 N Delta Hwy,Eugene,OR,97408,"38,000 (estimated)",Public,1989,32
Ocean Dunes Golf Links,3345 Munsel Lake Rd,Florence,OR,97439,"34,000 (estimated)",Semi-Private,1961,35
Sunset Grove Golf,41615 Nw Osterman Rd,Forest Grove,OR,97116,N/A,Public,1961,20
Gearhart Golf Links,N Marion St,Gearhart,OR,97138,"50,000 (estimated)",Public,1913,45
Highlands at Gearhart,1 Highland Rd,Gearhart,OR,97138,"27,000 (estimated)",Public,1987,18
Childrens Course,19825 River Rd,Gladstone,OR,97027,"45,000 (estimated)",Public,1960,13
Westin Salishan Golf Links,Hwy 101,Gleneden Beach,OR,97388,"30,000 (estimated)",Resort,1965,65
Cedar Bend Golf Club,34391 Squaw Valley Rd,Gold Beach,OR,97444,"37,000 (estimated)",Semi-Private,1969,18
Applegate Golf,7350 New Hope Rd,Grants Pass,OR,97527,"19,000 (estimated)",Public,1994,15
Colonial Valley Golf Course,75 Nelson Way,Grants Pass,OR,97526,"37,000 (estimated)",Public,1925,15
Dutcher Creek Golf Course,4611 Upper River Rd,Grants Pass,OR,97526,N/A,Public,1994,22
Grants Pass Golf Club,230 Espey Rd,Grants Pass,OR,97527,"57,000 (estimated)",Semi-Private,1948,30
Hillebrands Paradise Ranch Resort,7000 Monument Dr,Grants Pass,OR,97526,N/A,Resort,1983,4
Red Mountain Golf Course,324 N Schoolhouse Creek Rd,Grants Pass,OR,97526,"28,000 (estimated)",Public,1988,12
Gresham Golf Course,2155 Ne Division St,Gresham,OR,97030,N/A,Semi-Private,1965,22
Persimmon Country Club,500 Se Butler Rd,Gresham,OR,97080,"42,000 (estimated)",Semi-Private,1992,75
Willow Creek Country Club,53726 Hwy 74,Heppner,OR,97836,N/A,Public,1954,12
Executive Course at Meriwether National Golf Club,5200 Sw Roodbridge Rd,Hillsboro,OR,97123,N/A,Public,1996,11
Killarney West Golf Course,1275 Nw 334th Ave,Hillsboro,OR,97124,"41,000 (estimated)",Public,1979,18
McKay Creek Golf Course & Driving Range,1416 Nw Jackson St,Hillsboro,OR,97124,N/A,Public,1996,21
North South Course at Meriwether National Golf Club,5200 Sw Roodbridge Rd,Hillsboro,OR,97123,N/A,Public,1962,30
Orenco Woods Golf Club,22200 Nw Birch St,Hillsboro,OR,97124,"34,000 (estimated)",Public,1949,20
South West Course at Meriwether National Golf Club,5200 Sw Roodbridge Rd,Hillsboro,OR,97123,N/A,Public,1993,30
West North Course at Meriwether National Golf Club,5200 Sw Roodbridge Rd,Hillsboro,OR,97123,N/A,Public,1993,30
Valley Golf Club,345 Hines Blvd,Hines,OR,97738,"44,000 (estimated)",Semi-Private,1939,17
Hood River Golf & Country Club,1850 Country Club Rd,Hood River,OR,97031,N/A,Public,1922,17
Indian Creek Golf Course,3605 Brookside Rd,Hood River,OR,97031,"40,000 (estimated)",Public,1989,42
Oak Knoll Golf Course & Driving Range,6335 Hwy 22,Independence,OR,97351,"40,000 (estimated)",Public,1926,30
John Day Golf Club,W Hwy 26,John Day,OR,97845,"43,000 (estimated)",Semi-Private,1953,20
Shadow Hills Country Club,92512 River Rd,Junction City,OR,97448,"57,000 (estimated)",Private,1962,65
King City Golf Course,15355 Sw Royalty Pkwy,King City,OR,97224,"37,000 (estimated)",Semi-Private,1958,22
Harbor Links Public Golf,601 Harbor Isles Blvd,Klamath Falls,OR,97601,"27,000 (estimated)",Public,1985,30
Reames Golf & Country Club,4201 Hwy 97 S,Klamath Falls,OR,97603,"33,000 (estimated)",Private,1924,35
Round Lake Public Golf Course,4000 Round Lake Rd,Klamath Falls,OR,97601,"42,000 (estimated)",Public,1972,15
Running Y Ranch Resort,5790 Coopers Hawk,Klamath Falls,OR,97601,"32,000 (estimated)",Resort,1997,75
Shield Crest Golf Course,3151 Shield Crest Dr,Klamath Falls,OR,97603,N/A,Semi-Private,1988,25
